aX,aY,aZ,gX,gY,gZ
0.100,0.099,0.541,5.005,27.283,5.432
0.094,0.109,0.533,2.686,25.940,5.188
0.088,0.119,0.531,2.869,25.635,5.554
0.084,0.120,0.527,0.488,23.987,5.493
0.094,0.129,0.534,-1.282,24.780,6.409
0.087,0.141,0.514,-2.563,23.376,5.554
0.080,0.146,0.500,-2.747,20.813,4.517
0.086,0.152,0.501,-2.197,17.761,3.052
0.084,0.157,0.492,-3.723,17.212,1.953
0.083,0.159,0.489,-5.188,17.883,0.244
0.081,0.126,0.486,-6.592,19.226,-1.221
0.083,0.156,0.482,-6.714,20.325,-2.686
0.083,0.187,0.474,-7.019,22.400,-4.761
0.078,0.151,0.463,-5.676,21.973,-6.775
0.079,0.153,0.450,-4.822,21.973,-8.362
0.080,0.150,0.439,-3.174,20.203,-9.277
0.088,0.156,0.431,-2.136,18.250,-9.644
0.098,0.159,0.429,-1.343,16.602,-10.315
0.099,0.160,0.428,-2.502,14.465,-10.559
0.101,0.160,0.434,-4.395,13.489,-10.803
0.101,0.158,0.439,-5.920,11.414,-11.230
0.104,0.149,0.449,-8.606,9.888,-11.597
0.100,0.145,0.456,-9.949,8.972,-11.780
0.101,0.138,0.465,-11.047,8.423,-12.207
0.101,0.134,0.472,-12.146,9.277,-11.780
0.103,0.131,0.476,-12.512,10.254,-11.536
0.105,0.132,0.473,-12.756,11.719,-11.719
0.117,0.115,0.447,-12.634,11.292,-12.695
0.118,0.106,0.441,-12.573,9.888,-12.634
